Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,1440.0,1500.0,1100.0,1300.0,1300.0,364
2018-12-18,1280.0,1300.0,1060.0,1160.0,1160.0,366
2018-12-19,1186.0,1380.0,1160.0,1264.0,1264.0,285
2018-12-20,1200.0,1264.0,1180.0,1216.0,1216.0,123
2018-12-21,1208.0,1260.0,1100.0,1188.0,1188.0,220
2018-12-24,1150.0,1200.0,1100.0,1140.0,1140.0,74
2018-12-26,1140.0,1360.0,1106.0,1260.0,1260.0,151
2018-12-27,1260.0,1300.0,1180.0,1228.0,1228.0,129
2018-12-28,1120.0,1270.0,1106.0,1230.0,1230.0,119
2018-12-31,1240.0,1240.0,1122.0,1152.0,1152.0,196
2019-01-02,1168.0,1456.0,1162.0,1430.0,1430.0,191
2019-01-03,1428.0,1496.0,1320.0,1480.0,1480.0,98
2019-01-04,1494.0,1600.0,1410.0,1560.0,1560.0,120
2019-01-07,1526.0,1600.0,1406.0,1522.0,1522.0,107
2019-01-08,1576.0,1590.0,1502.0,1580.0,1580.0,122
2019-01-09,1560.0,1590.0,1500.0,1584.0,1584.0,75
2019-01-10,1534.0,1620.0,1528.0,1576.0,1576.0,124
2019-01-11,1640.0,1640.0,1528.0,1560.0,1560.0,100
2019-01-14,1532.0,1600.0,1532.0,1560.0,1560.0,47
2019-01-15,1560.0,1580.0,1500.0,1530.0,1530.0,65
2019-01-16,1528.0,1570.0,1500.0,1560.0,1560.0,40
2019-01-17,1560.0,1600.0,1518.0,1560.0,1560.0,43
2019-01-18,1566.0,1790.0,1560.0,1782.0,1782.0,348
2019-01-22,1794.0,1794.0,1700.0,1760.0,1760.0,105
2019-01-23,1720.0,1780.0,1600.0,1778.0,1778.0,91
2019-01-24,1796.0,1796.0,1720.0,1772.0,1772.0,61
2019-01-25,1724.0,1780.0,1682.0,1698.0,1698.0,60
2019-01-28,1680.0,1740.0,1628.0,1662.0,1662.0,37
2019-01-29,1680.0,1700.0,1652.0,1672.0,1672.0,59
2019-01-30,1698.0,1700.0,1600.0,1684.0,1684.0,78
2019-01-31,1654.0,1700.0,1608.0,1620.0,1620.0,97
2019-02-01,1604.0,1680.0,1600.0,1650.0,1650.0,37
2019-02-04,1630.0,1700.0,1600.0,1700.0,1700.0,44
2019-02-05,1680.0,1720.0,1644.0,1648.0,1648.0,43
2019-02-06,1648.0,1698.0,1600.0,1688.0,1688.0,31
2019-02-07,1704.0,1712.0,1640.0,1688.0,1688.0,34
2019-02-08,1712.0,1790.0,1640.0,1780.0,1780.0,155
2019-02-11,2000.0,2140.0,1800.0,1810.0,1810.0,1497
2019-02-12,1860.0,2000.0,1840.0,1980.0,1980.0,483
2019-02-13,2040.0,2360.0,2020.0,2220.0,2220.0,1321
2019-02-14,2220.0,2340.0,2060.0,2260.0,2260.0,557
