Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,9.800000190734863,10.0,8.800000190734863,8.800000190734863,8.800000190734863,5510
2018-12-18,8.800000190734863,9.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,4230
2018-12-19,8.600000381469727,9.300000190734863,8.5,8.5,8.5,1910
2018-12-20,8.5,9.600000381469727,8.5,8.600000381469727,8.600000381469727,6150
2018-12-21,9.899999618530273,9.899999618530273,7.800000190734863,7.800000190734863,7.800000190734863,13510
2018-12-24,7.800000190734863,8.199999809265137,7.800000190734863,7.900000095367432,7.900000095367432,2580
2018-12-26,7.900000095367432,7.900000095367432,7.5,7.599999904632568,7.599999904632568,9710
2018-12-27,7.599999904632568,7.900000095367432,7.0,7.0,7.0,4350
2018-12-28,7.0,7.5,7.0,7.300000190734863,7.300000190734863,10450
2018-12-31,7.099999904632568,7.900000095367432,7.099999904632568,7.199999809265137,7.199999809265137,25010
2019-01-02,7.400000095367432,7.900000095367432,7.300000190734863,7.900000095367432,7.900000095367432,5880
2019-01-03,7.900000095367432,7.900000095367432,7.699999809265137,7.900000095367432,7.900000095367432,2000
2019-01-04,7.900000095367432,8.0,7.599999904632568,7.900000095367432,7.900000095367432,2610
2019-01-07,7.699999809265137,8.800000190734863,7.699999809265137,8.699999809265137,8.699999809265137,13340
2019-01-08,8.600000381469727,9.5,8.199999809265137,9.5,9.5,4580
2019-01-09,9.300000190734863,9.399999618530273,8.600000381469727,9.399999618530273,9.399999618530273,860
2019-01-10,9.199999809265137,9.5,8.800000190734863,8.800000190734863,8.800000190734863,440
2019-01-11,9.699999809265137,9.699999809265137,9.0,9.100000381469727,9.100000381469727,990
2019-01-14,9.600000381469727,9.600000381469727,9.300000190734863,9.300000190734863,9.300000190734863,4600
2019-01-15,10.0,10.0,9.600000381469727,9.800000190734863,9.800000190734863,1810
2019-01-16,9.899999618530273,10.0,9.899999618530273,9.899999618530273,9.899999618530273,1610
2019-01-17,9.899999618530273,9.899999618530273,9.600000381469727,9.600000381469727,9.600000381469727,690
2019-01-18,10.0,10.0,9.800000190734863,10.0,10.0,1830
2019-01-22,9.899999618530273,10.0,9.699999809265137,9.699999809265137,9.699999809265137,1370
2019-01-23,9.5,9.899999618530273,9.5,9.699999809265137,9.699999809265137,1720
2019-01-24,9.600000381469727,9.699999809265137,9.5,9.699999809265137,9.699999809265137,3230
2019-01-25,9.699999809265137,9.699999809265137,9.399999618530273,9.699999809265137,9.699999809265137,370
2019-01-28,9.300000190734863,9.699999809265137,9.300000190734863,9.699999809265137,9.699999809265137,610
2019-01-29,9.399999618530273,10.0,9.399999618530273,9.699999809265137,9.699999809265137,1310
2019-01-30,9.600000381469727,10.0,9.5,9.899999618530273,9.899999618530273,320
2019-01-31,10.0,10.0,9.5,9.899999618530273,9.899999618530273,1050
2019-02-01,10.0,11.300000190734863,9.699999809265137,10.5,10.5,3260
2019-02-04,10.699999809265137,11.5,10.699999809265137,11.100000381469727,11.100000381469727,1320
2019-02-05,11.199999809265137,11.5,10.800000190734863,10.800000190734863,10.800000190734863,2250
