Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,120.0,135.0,120.0,132.0,132.0,3840
2018-12-18,129.0,141.0,129.0,132.0,132.0,3421
2018-12-19,132.0,141.0,129.0,132.0,132.0,2071
2018-12-20,132.0,141.0,123.0,126.0,126.0,3775
2018-12-21,138.0,138.0,117.0,129.0,129.0,5002
2018-12-24,129.0,132.0,117.0,117.0,117.0,2234
2018-12-26,120.0,132.0,117.0,126.0,126.0,1987
2018-12-27,123.0,126.0,114.0,120.0,120.0,3283
2018-12-28,117.0,123.0,117.0,120.0,120.0,3312
2018-12-31,120.0,126.0,114.0,117.0,117.0,2610
2019-01-02,117.0,132.0,114.0,132.0,132.0,2445
2019-01-03,135.0,135.0,126.0,129.0,129.0,2168
2019-01-04,132.0,132.0,123.0,129.0,129.0,1787
2019-01-07,132.0,141.0,126.0,141.0,141.0,2215
2019-01-08,138.0,165.0,135.0,156.0,156.0,6990
2019-01-09,162.0,162.0,138.0,144.0,144.0,2978
2019-01-10,144.0,156.0,138.0,147.0,147.0,1166
2019-01-11,144.0,153.0,144.0,150.0,150.0,1044
2019-01-14,147.0,150.0,141.0,147.0,147.0,1243
2019-01-15,147.0,147.0,141.0,144.0,144.0,1496
2019-01-16,141.0,153.0,141.0,150.0,150.0,1632
2019-01-17,153.0,153.0,147.0,150.0,150.0,1331
2019-01-18,150.0,156.0,150.0,153.0,153.0,950
2019-01-22,153.0,153.0,147.0,150.0,150.0,1829
2019-01-23,150.0,153.0,147.0,150.0,150.0,1212
2019-01-24,153.0,159.0,144.0,147.0,147.0,2117
2019-01-25,147.0,156.0,147.0,147.0,147.0,1538
2019-01-28,150.0,153.0,144.0,144.0,144.0,1342
2019-01-29,147.0,153.0,141.0,144.0,144.0,2199
2019-01-30,144.0,150.0,144.0,150.0,150.0,1456
2019-01-31,150.0,156.0,147.0,150.0,150.0,1563
2019-02-01,150.0,162.0,150.0,159.0,159.0,1310
2019-02-04,162.0,186.0,156.0,183.0,183.0,4611
2019-02-05,192.0,198.0,177.0,186.0,186.0,4982
