Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,3448.0,3600.0,3304.0,3304.0,3304.0,91
2018-12-18,3280.0,3288.0,3032.0,3120.0,3120.0,137
2018-12-19,3000.0,3280.0,2960.0,3080.0,3080.0,104
2018-12-20,3120.0,3200.0,2560.0,2856.0,2856.0,148
2018-12-21,2888.0,2888.0,2440.0,2488.0,2488.0,122
2018-12-24,2944.0,3520.0,2560.0,3080.0,3080.0,356
2018-12-26,2800.0,3200.0,2800.0,3128.0,3128.0,135
2018-12-27,3240.0,3280.0,2960.0,3200.0,3200.0,72
2018-12-28,3336.0,4224.0,3328.0,3888.0,3888.0,326
2018-12-31,3880.0,4336.0,3600.0,3648.0,3648.0,300
2019-01-02,3600.0,3840.0,3600.0,3632.0,3632.0,117
2019-01-03,3680.0,3952.0,3680.0,3800.0,3800.0,103
2019-01-04,3840.0,4240.0,3816.0,3920.0,3920.0,110
2019-01-07,4000.0,4008.0,3680.0,3712.0,3712.0,119
2019-01-08,3760.0,3880.0,3600.0,3688.0,3688.0,110
2019-01-09,3648.0,3696.0,3200.0,3680.0,3680.0,109
2019-01-10,3608.0,3664.0,3440.0,3560.0,3560.0,41
2019-01-11,3552.0,3680.0,3400.0,3400.0,3400.0,55
2019-01-14,3648.0,3648.0,3320.0,3448.0,3448.0,60
2019-01-15,3600.0,4360.0,3520.0,3720.0,3720.0,1027
2019-01-16,4000.0,4000.0,3280.0,3504.0,3504.0,500
2019-01-17,3504.0,3568.0,3280.0,3336.0,3336.0,138
2019-01-18,3360.0,3440.0,3040.0,3272.0,3272.0,191
2019-01-22,3160.0,3272.0,3080.0,3184.0,3184.0,99
2019-01-23,4240.0,4280.0,3424.0,3600.0,3600.0,1547
2019-01-24,3448.0,3560.0,3240.0,3520.0,3520.0,239
2019-01-25,3520.0,3600.0,3320.0,3528.0,3528.0,106
2019-01-28,3600.0,3600.0,3360.0,3424.0,3424.0,117
2019-01-29,3360.0,3552.0,3280.0,3464.0,3464.0,177
2019-01-30,3376.0,3520.0,3360.0,3440.0,3440.0,114
2019-01-31,3520.0,3520.0,3360.0,3376.0,3376.0,70
2019-02-01,3520.0,3600.0,3400.0,3560.0,3560.0,208
2019-02-04,3600.0,3800.0,3520.0,3624.0,3624.0,126
2019-02-05,3752.0,3760.0,3384.0,3432.0,3432.0,142
2019-02-06,3440.0,3600.0,3384.0,3600.0,3600.0,112
2019-02-07,3448.0,3600.0,3440.0,3448.0,3448.0,54
2019-02-08,3552.0,3600.0,3440.0,3496.0,3496.0,62
2019-02-11,3280.0,3360.0,2784.0,2840.0,2840.0,603
2019-02-12,2960.0,2984.0,2720.0,2888.0,2888.0,209
2019-02-13,3440.0,3760.0,3024.0,3152.0,3152.0,1448
2019-02-14,3032.0,3152.0,2912.0,2960.0,2960.0,197
2019-02-15,2936.0,3032.0,2880.0,2984.0,2984.0,99
2019-02-19,3040.0,3040.0,2896.0,3000.0,3000.0,85
2019-02-20,2904.0,3000.0,2880.0,2880.0,2880.0,100
2019-02-21,2920.0,2936.0,2880.0,2888.0,2888.0,54
