Date,Open,High,Low,Close,Adj Close,Volume
2021-04-20,3525.0,5625.0,2650.0,3015.0,3015.0,16855
2021-04-21,2535.0,2600.0,2075.0,2370.0,2370.0,7838
2021-04-22,2265.0,2495.0,2150.0,2245.0,2245.0,4193
2021-04-23,2240.0,2345.0,2100.0,2110.0,2110.0,2732
2021-04-26,2160.0,2325.0,2057.0,2165.0,2165.0,2384
2021-04-27,2170.0,2205.0,2130.0,2165.0,2165.0,1423
2021-04-28,2160.0,2235.0,2150.0,2195.0,2195.0,1409
2021-04-29,2225.0,2227.0,2105.0,2150.0,2150.0,1067
2021-04-30,2095.0,2115.0,1950.0,2030.0,2030.0,1368
2021-05-03,1995.0,1995.0,1830.0,1855.0,1855.0,1328
2021-05-04,1790.0,1980.0,1762.0,1945.0,1945.0,1008
2021-05-05,1935.0,2020.0,1882.5,1915.0,1915.0,1012
2021-05-06,2144.0,2600.0,1945.0,2105.0,2105.0,35624
2021-05-07,2020.0,2200.0,2020.0,2195.0,2195.0,2154
2021-05-10,2195.0,2200.0,2035.0,2035.0,2035.0,928
2021-05-11,1935.0,1980.0,1865.0,1935.0,1935.0,1199
2021-05-12,1865.0,1980.0,1850.0,1905.0,1905.0,1062
2021-05-13,1895.0,1970.0,1852.5,1896.5,1896.5,771
2021-05-14,1915.0,1960.0,1850.0,1935.0,1935.0,493
2021-05-17,1890.0,1920.0,1855.0,1900.0,1900.0,476
2021-05-18,1860.0,1890.0,1840.0,1855.0,1855.0,765
2021-05-19,1835.0,1895.0,1825.0,1895.0,1895.0,230
2021-05-20,1900.0,2100.0,1870.0,1995.0,1995.0,1254
2021-05-21,2030.0,2030.0,1925.0,1970.0,1970.0,351
2021-05-24,1950.0,1990.0,1900.0,1910.0,1910.0,208
2021-05-25,1905.0,1945.0,1880.0,1910.0,1910.0,167
2021-05-26,1890.0,1950.0,1855.0,1920.0,1920.0,574
2021-05-27,1905.0,1930.0,1860.0,1865.0,1865.0,363
2021-05-28,1860.0,1940.0,1860.0,1910.0,1910.0,524
2021-06-01,1910.0,1935.0,1860.0,1885.0,1885.0,329
2021-06-02,1865.0,1925.0,1855.0,1870.0,1870.0,505
2021-06-03,1865.0,1925.0,1810.0,1870.0,1870.0,426
2021-06-04,1895.0,1920.0,1855.0,1890.0,1890.0,641
2021-06-07,1895.0,1920.0,1875.0,1880.0,1880.0,666
2021-06-08,1900.0,2045.0,1870.0,2045.0,2045.0,867
2021-06-09,2025.0,2065.0,1958.0,1960.0,1960.0,432
2021-06-10,2040.0,2040.0,1910.0,1965.0,1965.0,940
2021-06-11,1995.0,1995.0,1930.0,1970.0,1970.0,263
2021-06-14,1975.0,2000.0,1925.0,1990.0,1990.0,514
2021-06-15,1995.0,2015.0,1895.0,1930.0,1930.0,1046
2021-06-16,1920.0,1970.0,1825.0,1845.0,1845.0,785
2021-06-17,1845.0,1884.0,1825.0,1840.0,1840.0,235
2021-06-18,1825.0,1865.0,1780.0,1780.0,1780.0,455
2021-06-21,1800.0,1810.0,1660.0,1690.0,1690.0,858
2021-06-22,1670.0,1925.0,1625.0,1865.0,1865.0,2138
2021-06-23,1870.0,1945.0,1785.0,1860.0,1860.0,2207
2021-06-24,2132.5,2355.0,1890.0,1915.0,1915.0,17897
2021-06-25,1915.0,2078.5,1895.0,2030.0,2030.0,3894
2021-06-28,2035.0,2035.0,1860.0,1940.0,1940.0,2684
2021-06-29,1970.0,3050.0,1935.0,2535.0,2535.0,107185
2021-06-30,2470.0,2740.0,2250.0,2335.0,2335.0,15993
2021-07-01,2195.0,2440.0,2010.0,2090.0,2090.0,8420
2021-07-02,2075.0,2235.0,2000.0,2025.0,2025.0,2202
2021-07-06,1975.0,1990.0,1800.0,1825.0,1825.0,4626
2021-07-07,1825.0,1895.0,1710.5,1770.0,1770.0,4529
2021-07-08,1730.0,1905.0,1660.0,1810.0,1810.0,3960
2021-07-09,1825.0,2175.0,1780.0,2085.0,2085.0,5063
2021-07-12,2025.0,2045.0,1837.5,1855.0,1855.0,1790
2021-07-13,1870.0,2080.0,1780.0,1850.0,1850.0,2379
2021-07-14,1875.0,1935.0,1800.0,1815.0,1815.0,1045
2021-07-15,1800.0,1855.0,1655.0,1682.5,1682.5,1594
2021-07-16,1715.0,1750.0,1655.0,1690.0,1690.0,1217
2021-07-19,1680.0,1690.0,1550.0,1590.0,1590.0,1112
2021-07-20,1685.0,1740.0,1600.0,1680.0,1680.0,3159
2021-07-21,1700.0,1745.0,1675.0,1720.0,1720.0,1143
2021-07-22,1700.0,1725.0,1600.0,1605.0,1605.0,842
2021-07-23,1620.0,1670.0,1560.0,1595.0,1595.0,714
2021-07-26,1590.0,1640.0,1530.0,1555.0,1555.0,651
2021-07-27,1560.0,1560.0,1375.0,1420.0,1420.0,1245
2021-07-28,1455.0,1820.0,1440.0,1745.0,1745.0,10046
2021-07-29,1667.5,1720.5,1534.5,1560.0,1560.0,2873
2021-07-30,1545.0,1660.0,1530.0,1555.0,1555.0,2423
2021-08-02,1585.0,1595.0,1450.0,1450.0,1450.0,1395
